"AddressOriginal","AddressNew","Geometry"
"新北市永和區中正路５８８號七樓之四","新北市永和區福和里中正路588號","POINT (121.5171515931028 25.006833425515971)"
"新北市永和區中正路７４６號七樓","新北市永和區正興里中正路746號","POINT (121.5149575964886 25.01034382312881)"
"新北市中和區秀朗路三段１０巷１４弄３２號","新北市中和區秀福里秀朗路三段10巷14弄32號","POINT (121.5246444132695 24.99660766089865)"
"新北市汐止區水源路一段１６８巷８號十二樓","新北市汐止區自強里水源路一段168巷8號","POINT (121.6552079271373 25.062306116455229)"
"新北市五股區新城六路２３７號二樓","新北市五股區成功里新城六路237號","POINT (121.44769730900261 25.0931339611291)"
"新北市板橋區文化路二段３６９巷４號三樓","新北市板橋區柏翠里文化路二段369巷4號","POINT (121.4728240248357 25.031342463338451)"
"新北市板橋區四川路二段１３０巷４５號四樓","新北市板橋區華東里四川路二段130巷45號","POINT (121.4495715358879 24.994732104296961)"
"新北市土城區永和街３號三樓","新北市土城區永寧里永和街3號","POINT (121.43457636861871 24.965175960643538)"
"新北市樹林區八德街６６２號四樓","新北市樹林區山佳里八德街662號","POINT (121.3964182091334 24.969207922454661)"
"新北市三峽區復興路３６９號三樓之４","新北市三峽區鳶山里復興路369號","POINT (121.3635191305893 24.938501532548649)"
"新北市鶯歌區永和街１５７之２號八樓","新北市鶯歌區鳳鳴里永和街157之2號","POINT (121.3347592949854 24.969674648110221)"
"新北市淡水區新市三路一段９２號二十樓","新北市淡水區崁頂里新市三路一段92號","POINT (121.4254823451823 25.198664567343592)"
"新北市淡水區新市三路一段８６號七樓","新北市淡水區崁頂里新市三路一段86號","POINT (121.4255510090517 25.198823775961419)"
"新北市淡水區新市三路一段１１０號二十三樓","新北市淡水區崁頂里新市三路一段110號","POINT (121.4261346583926 25.198450994099758)"
"新北市淡水區新市三路一段６０號十七樓","新北市淡水區崁頂里新市三路一段60號","POINT (121.42484290581081 25.198357799208331)"
"新北市淡水區水源街二段９２巷１１之２號五樓","新北市淡水區學府里水源街二段92巷11之2號","POINT (121.4525779737161 25.17350033203547)"
"新北市淡水區新市三路一段１０６號十七樓","新北市淡水區崁頂里新市三路一段106號","POINT (121.4260788678623 25.198625736112749)"
"新北市淡水區新市三路一段１１８號十樓","新北市淡水區崁頂里新市三路一段118號","POINT (121.4257999185117 25.198586904777351)"
"新北市淡水區新市三路一段８６號十三樓","新北市淡水區崁頂里新市三路一段86號","POINT (121.4255510090517 25.198823775961419)"
"新北市淡水區新市三路一段８２號十一樓","新北市淡水區崁頂里新市三路一段82號","POINT (121.42542236263751 25.198874256751221)"
"新北市淡水區新市三路一段８６號八樓","新北市淡水區崁頂里新市三路一段86號","POINT (121.4255510090517 25.198823775961419)"
"新北市三重區三民街６８號三樓之三","新北市三重區田安里三民街68號","POINT (121.48569942029791 25.062480498608188)"
"新北市三重區集英路２２號十二樓","新北市三重區碧華里集英路22號","POINT (121.48648453476051 25.085288195040039)"
"新北市蘆洲區長安街３４７巷２２之３號三樓","新北市蘆洲區成功里長安街347巷22之3號","POINT (121.4559614712183 25.08713434373859)"
"新北市蘆洲區水湳街３９３號十六樓","新北市蘆洲區水湳里水湳街393號","POINT (121.469635741635 25.094528692182109)"
"新北市三重區國隆路１４號四樓","新北市三重區國隆里國隆路14號","POINT (121.49300686825011 25.063886473562611)"
"新北市中和區連城路２６３巷１８弄１５號四樓","新北市中和區建和里連城路263巷18弄15號","POINT (121.4920660347326 24.99466920716344)"
"新北市中和區橋和路１６０巷１７號十三樓","新北市中和區中原里橋和路160巷17號","POINT (121.49464106677471 25.005869971902)"
"新北市中和區景新街２０５之８號四樓","新北市中和區景安里景新街205之8號","POINT (121.5078425849099 24.995153396472411)"
"新北市永和區民權路５８巷２弄１２號","新北市永和區民族里民權路58巷2弄12號","POINT (121.5198059424656 24.998782419163579)"
"新北市中和區中興街２０２巷６號三樓","新北市中和區中興里中興街202巷6號","POINT (121.4991258736947 24.990415241430561)"
"新北市永和區永寧街１２５號","新北市永和區福和里永寧街125號","POINT (121.5180344207607 25.00557522920937)"
"新北市汐止區康寧街４５９巷１號四樓","新北市汐止區北峰里康寧街459巷1號","POINT (121.6311594843841 25.069012336970179)"
"新北市汐止區長江街２５２號６樓之１","新北市汐止區鄉長里長江街252號","POINT (121.6627746582555 25.079750142768411)"
"新北市汐止區忠孝東路４８８號四樓之１","新北市汐止區橋東里忠孝東路488號","POINT (121.6662328967348 25.073640559776809)"
"新北市汐止區水源路二段１１０巷９號","新北市汐止區白雲里水源路二段110巷9號","POINT (121.6567630528795 25.05507328625276)"
"新北市泰山區明志路一段１１７巷４弄５號四樓","新北市泰山區楓樹里明志路一段117巷4弄5號","POINT (121.43384931542769 25.0631375208508)"
"新北市新莊區福德一街６號六樓","新北市新莊區頭前里福德一街6號","POINT (121.4631764887764 25.05657197573462)"
"新北市新莊區福德一街６號七樓","新北市新莊區頭前里福德一街6號","POINT (121.4631764887764 25.05657197573462)"
"新北市新莊區福德一街１２號十樓","新北市新莊區頭前里福德一街12號","POINT (121.46306276321241 25.056328996843639)"
"新北市新莊區福德一街６號十一樓","新北市新莊區頭前里福德一街6號","POINT (121.4631764887764 25.05657197573462)"
"新北市新莊區福德一街１２號四樓","新北市新莊區頭前里福德一街12號","POINT (121.46306276321241 25.056328996843639)"
"新北市新莊區福德一街１２號三樓","新北市新莊區頭前里福德一街12號","POINT (121.46306276321241 25.056328996843639)"
"新北市新莊區福德一街１２號十一樓","新北市新莊區頭前里福德一街12號","POINT (121.46306276321241 25.056328996843639)"
"新北市新莊區福德一街１２號十二樓","新北市新莊區頭前里福德一街12號","POINT (121.46306276321241 25.056328996843639)"
"新北市新莊區福德一街６號五樓","新北市新莊區頭前里福德一街6號","POINT (121.4631764887764 25.05657197573462)"
"新北市新莊區中泰街１０７號三樓","新北市新莊區中全里中泰街107號","POINT (121.44871326777211 25.046555200648822)"
"新北市五股區五工六路５６號","新北市五股區興珍里五工六路56號","POINT (121.4476254272749 25.06874228223964)"
"新北市林口區文化二路一段５７１號十七樓之一","新北市林口區湖南里文化二路一段571號","POINT (121.3755285665811 25.078117225468741)"
"新北市新莊區福德一街２號十樓","新北市新莊區頭前里福德一街2號","POINT (121.46303915964209 25.056552537441071)"
"新北市新莊區福德一街２號六樓","新北市新莊區頭前里福德一街2號","POINT (121.46303915964209 25.056552537441071)"
"新北市新莊區福德一街８號七樓","新北市新莊區頭前里福德一街8號","POINT (121.4631893633469 25.05645534592707)"
"新北市新莊區福德一街８號六樓","新北市新莊區頭前里福德一街8號","POINT (121.4631893633469 25.05645534592707)"
"新北市新莊區福德一街８號九樓","新北市新莊區頭前里福德一街8號","POINT (121.4631893633469 25.05645534592707)"
"新北市新莊區福德一街８號四樓","新北市新莊區頭前里福德一街8號","POINT (121.4631893633469 25.05645534592707)"
"新北市新莊區福德一街１０號十樓","新北市新莊區頭前里福德一街10號","POINT (121.46319365497961 25.056328996843629)"
"新北市新莊區福德一街１０號十一樓","新北市新莊區頭前里福德一街10號","POINT (121.46319365497961 25.056328996843629)"
"新北市新莊區福德一街１０號十二樓","新北市新莊區頭前里福德一街10號","POINT (121.46319365497961 25.056328996843629)"
"新北市新莊區福德一街８號八樓","新北市新莊區頭前里福德一街8號","POINT (121.4631893633469 25.05645534592707)"
"新北市新莊區福德一街１０號四樓","新北市新莊區頭前里福德一街10號","POINT (121.46319365497961 25.056328996843629)"
"新北市新莊區福德一街１０號五樓","新北市新莊區頭前里福德一街10號","POINT (121.46319365497961 25.056328996843629)"
"新北市新莊區福美街９號四樓","新北市新莊區頭前里福美街9號","POINT (121.4602608471961 25.052708432769212)"
"新北市板橋區漢生東路２７６之１號六樓","新北市板橋區深丘里漢生東路276之1號","POINT (121.4689623996213 25.012045614432459)"
"新北市板橋區四川路二段９９之１２號五樓","新北市板橋區華德里四川路二段99之12號","POINT (121.4520111970555 24.994431804113351)"
"新北市板橋區國慶路１４９巷１弄９號五樓","新北市板橋區重慶里國慶路149巷1弄9號","POINT (121.460966936144 24.996419495190381)"
"新北市土城區青雲路３５０之７號十四樓","新北市土城區清和里青雲路350之7號","POINT (121.457953959669 24.974589305515131)"
"新北市新店區安祥路１１０巷３０弄３號九樓","新北市新店區香坡里安祥路110巷30弄3號","POINT (121.474123451616 24.956461706827291)"
